client_id,age,monthly_income,loan_amount,loan_term_months,gender,marital_status,education,has_house,has_car,default
1214,30,300,4000,24,Male,Married,Master,1,0,0
1437,40,1000,2000,36,Female,Married,PhD,0,0,0
1053,25,300,2000,12,Male,Single,Master,0,1,1
1189,35,500,4000,24,Male,Divorced,High School,0,1,0
1082,25,1000,2000,24,Female,Single,Bachelor,1,0,0
1338,25,300,4000,12,Female,Married,High School,1,0,1
1047,25,500,4000,36,Male,Married,High School,1,1,0
1418,30,700,3000,36,Female,Divorced,,1,1,1
1153,30,,1000,6,Female,Single,Bachelor,1,0,0
1360,40,300,1000,12,Female,Single,High School,0,0,0
1342,30,500,1000,12,Female,Married,High School,1,0,0
1033,45,1000,1000,36,Female,Single,High School,1,1,0
1423,35,300,2000,24,Female,Married,Master,0,0,0
1324,35,700,1000,12,Male,Divorced,High School,0,1,0
1261,30,700,1000,6,Other,Divorced,Master,1,0,0
1331,30,300,1000,12,Female,Single,Bachelor,0,1,0
1434,40,300,1000,12,Male,Single,Bachelor,0,1,0
1404,45,1000,4000,24,Male,Married,Bachelor,1,1,0
1090,25,1000,3000,6,Male,Married,Master,1,0,0
1020,25,700,3000,24,Male,Married,High School,1,1,0
1054,40,1000,2000,36,Female,Single,Master,0,1,0
1101,25,1000,1000,36,Male,Single,Bachelor,1,1,0
1031,45,500,3000,12,Male,Married,Bachelor,1,0,0
1153,45,300,1000,6,Female,Married,Bachelor,0,1,0
1179,30,300,4000,24,Female,Single,Bachelor,0,1,0
1435,40,700,1000,36,Male,Married,Master,1,0,0
1175,40,300,3000,36,Female,Married,,1,1,0
1163,30,300,4000,24,Male,Married,,1,1,0
1495,40,300,3000,24,Female,Single,Master,0,0,0
1139,30,700,1000,6,Male,Single,High School,1,1,0
1344,30,1000,3000,24,Female,Married,High School,1,1,0
1475,40,700,1000,36,Male,Married,High School,0,0,0
1231,30,700,4000,24,Female,Single,Master,0,0,0
1364,40,700,2000,6,Female,Divorced,Bachelor,0,0,0
1265,40,500,1000,12,Female,Divorced,PhD,1,1,1
1320,25,500,4000,6,Female,Single,Master,0,1,0
1379,,,4000,36,Male,Single,Bachelor,1,0,1
1423,30,500,3000,6,Male,Divorced,PhD,1,0,0
1157,30,1000,1000,24,Male,Single,High School,0,0,1
1019,25,700,1000,6,Other,Married,Master,0,1,0
1063,35,500,3000,12,Male,Divorced,PhD,1,1,0
1477,40,700,2000,36,Female,Married,Bachelor,1,1,0
1072,,700,1000,36,Other,Single,Bachelor,0,1,0
1480,35,500,4000,6,Male,Divorced,High School,1,1,0
1261,35,500,4000,6,Male,Married,Bachelor,0,1,0
1154,35,1000,1000,36,Female,Single,Bachelor,1,0,0
1375,35,500,1000,6,Female,Single,Master,0,1,0
1246,35,300,2000,6,Female,Divorced,Master,1,0,0
1048,45,300,3000,36,Male,Single,,0,0,0
1448,25,500,3000,6,Male,Married,Master,1,1,0
1446,25,500,4000,12,Male,Married,Master,1,1,0
1260,40,1000,4000,12,Male,Single,High School,0,0,0
1325,40,300,4000,12,Male,Single,Bachelor,1,0,1
1469,35,300,3000,12,Female,Married,High School,0,0,0
1283,,300,4000,36,Male,Divorced,Master,0,0,0
1145,30,500,2000,24,Female,Divorced,Bachelor,1,1,1
1498,25,300,4000,24,Female,Married,High School,1,0,0
1240,,700,3000,12,Male,Divorced,Bachelor,0,0,0
1147,30,500,1000,6,Male,Single,Master,1,1,0
1132,,700,1000,12,Female,Divorced,Bachelor,0,0,0
1287,,700,3000,12,Other,Married,,1,1,0
1236,30,1000,2000,6,Female,Single,PhD,1,1,0
1081,40,1000,3000,36,Male,Single,,1,0,0
1048,25,500,1000,24,Male,Married,High School,1,1,0
1473,35,500,2000,24,Female,Single,Bachelor,0,1,0
1085,25,300,2000,24,Female,Divorced,High School,0,0,1
1028,40,300,3000,36,Male,Married,Bachelor,0,1,0
1213,30,700,3000,24,Female,Divorced,Master,0,1,0
1404,40,500,4000,6,Female,Single,High School,0,0,0
1449,40,1000,3000,36,Male,Single,Bachelor,0,0,0
1246,35,300,3000,36,Female,Married,High School,1,1,0
1083,,1000,2000,6,Male,Married,Bachelor,0,1,0
1093,30,300,1000,12,Male,Married,Bachelor,0,1,0
1082,40,500,1000,12,Female,Single,,0,0,0
1304,30,500,1000,24,Female,Married,High School,1,0,0
1408,40,1000,4000,12,Male,Divorced,,0,0,0
1402,25,1000,4000,12,Female,Single,Bachelor,1,1,0
1387,25,500,4000,6,Female,Single,High School,1,1,0
1007,25,1000,3000,6,Male,Divorced,Bachelor,1,1,0
1123,30,500,4000,6,Female,Married,Bachelor,1,1,0
1354,30,1000,3000,12,Male,Married,High School,0,1,0
1465,,1000,4000,24,Female,Single,Bachelor,1,0,0
1237,30,1000,3000,6,Female,Divorced,High School,0,1,0
1116,40,1000,3000,12,Female,Single,Bachelor,0,0,0
1356,40,500,3000,12,,Single,Bachelor,1,0,0
1361,40,300,4000,12,Other,Single,,0,1,0
1417,30,500,4000,6,Male,Divorced,PhD,1,1,0
1491,40,300,2000,24,Female,Single,High School,1,0,0
1305,,500,1000,24,Male,Divorced,High School,1,0,1
1227,,700,4000,24,Female,Married,,1,1,1
1126,,500,1000,36,Male,Married,High School,0,1,1
1441,35,1000,2000,12,Female,Single,Bachelor,0,0,0
1182,45,500,1000,12,Male,Single,High School,0,1,0
1103,30,1000,1000,36,Female,Married,High School,0,0,0
1310,40,500,3000,36,,Divorced,Bachelor,0,0,0
1400,40,700,4000,12,Female,Divorced,Master,0,0,0
1404,30,300,3000,6,Female,Married,Master,0,0,0
1374,35,,2000,12,Other,Married,High School,0,1,0
1499,35,1000,2000,36,Male,Single,Master,0,0,0
1200,35,1000,2000,36,Female,Married,PhD,0,0,0
1381,25,1000,2000,36,Male,Single,Bachelor,0,1,0
1315,35,500,2000,6,Female,Married,High School,0,1,0
1316,35,1000,3000,36,Male,Single,PhD,0,0,0
1273,45,500,2000,36,Male,Divorced,Master,1,0,0
1404,30,700,3000,6,Female,Divorced,Bachelor,0,0,0
1083,45,700,4000,24,Male,Divorced,Master,1,0,0
1448,30,500,3000,12,Female,Married,Master,1,1,0
1069,25,500,4000,6,Female,Married,,1,0,0
1362,30,1000,3000,24,Male,Divorced,Bachelor,0,1,0
1068,25,,4000,24,Female,Divorced,Master,0,0,0
1160,40,500,4000,24,Female,Married,Master,1,0,0
1012,40,500,4000,36,Female,Married,High School,0,1,0
1092,25,300,4000,24,Female,Divorced,High School,0,0,0
1382,35,300,2000,12,Male,Divorced,,1,0,0
1068,25,500,3000,12,Female,Single,PhD,0,0,0
1040,30,300,4000,24,Other,Single,Master,0,1,0
1049,30,500,3000,36,Female,Divorced,PhD,0,0,0
1259,40,500,2000,24,Female,Married,High School,1,1,0
1139,35,500,4000,6,Female,Divorced,,1,1,0
1082,40,1000,1000,6,Male,Single,Master,0,1,0
1362,40,1000,3000,6,Female,Single,Master,1,0,0
1088,30,300,4000,24,Male,Married,Master,0,0,0
1116,30,500,3000,6,Female,Single,High School,1,1,0
1060,30,700,1000,6,Female,Single,Bachelor,1,0,0
1153,40,1000,4000,6,Female,Married,Master,1,1,0
1245,45,500,4000,12,Female,Divorced,,1,0,0
1456,40,500,3000,24,Female,Divorced,Bachelor,1,0,0
1245,40,700,2000,6,Female,Divorced,Master,0,1,0
1037,35,1000,4000,12,Female,Divorced,Bachelor,1,0,0
1359,45,500,3000,12,,Single,Bachelor,0,1,0
1194,25,1000,3000,12,Female,Divorced,Bachelor,0,0,1
1039,,500,2000,12,Male,Divorced,,0,1,0
1195,40,700,1000,36,Male,Married,High School,1,1,0
1336,25,700,3000,12,Male,Divorced,Bachelor,1,0,0
1060,25,700,4000,24,Male,Divorced,Bachelor,0,1,0
1328,35,500,1000,6,Female,Divorced,Bachelor,0,0,0
1273,35,700,2000,12,Female,Single,Bachelor,0,0,0
1037,25,700,1000,12,Female,Married,Bachelor,0,0,0
1064,25,300,4000,12,Female,Divorced,Bachelor,0,1,1
1195,30,700,2000,6,Male,Divorced,,1,0,0
1339,35,300,2000,12,Male,Married,Bachelor,1,0,0
1499,30,500,1000,36,Male,Single,Bachelor,0,1,0
1342,30,700,2000,24,Female,Divorced,Bachelor,0,1,0
1460,25,500,4000,24,Other,Married,,0,0,0
1249,35,700,3000,24,Female,Single,Master,1,1,0
1283,45,500,4000,36,Female,Divorced,Master,1,1,0
1487,35,500,3000,36,Male,Divorced,Bachelor,0,0,0
1098,35,500,4000,12,Female,Married,Bachelor,0,0,0
1232,45,300,4000,24,Male,Single,Bachelor,0,0,1
1294,30,700,1000,36,Male,Married,Bachelor,1,1,0
1085,40,700,4000,12,Male,Married,Master,0,0,0
1439,40,1000,1000,12,Male,Divorced,High School,1,1,1
1324,40,500,2000,6,Female,Single,High School,1,1,0
1016,25,700,4000,6,Male,Divorced,,0,1,0
1392,,500,1000,24,Female,Married,Master,0,0,1
1333,25,,4000,6,Male,Divorced,Bachelor,1,1,0
1348,,500,2000,12,Female,Married,,1,0,0
1367,25,,2000,12,Female,Divorced,,0,1,1
1424,40,1000,3000,24,Female,Single,Master,1,0,0
1030,35,,2000,12,Male,Married,High School,1,1,1
1021,35,700,4000,6,Male,Divorced,Master,1,1,0
1192,45,300,1000,6,Female,Married,Bachelor,1,0,0
1168,30,500,3000,24,Male,Married,Master,1,1,0
1037,30,500,4000,36,Female,Married,Master,1,1,0
1137,45,,2000,24,Female,Divorced,,1,1,0
1340,25,300,2000,6,Male,Married,High School,1,0,0
1384,,300,1000,24,Female,Divorced,Bachelor,0,1,0
1117,30,300,2000,36,Male,Married,Bachelor,1,1,0
1205,25,300,2000,24,Male,Single,Bachelor,0,1,0
1482,25,300,4000,12,Other,Single,High School,1,0,0
1095,35,500,2000,24,,Divorced,Master,1,0,0
1118,35,700,1000,36,Female,Divorced,PhD,1,1,0
1034,30,700,2000,24,Female,Single,Bachelor,0,0,1
1390,30,700,3000,6,Male,Single,High School,0,0,0
1337,40,700,2000,12,Female,Single,Bachelor,0,0,0
1433,45,1000,4000,6,,Divorced,Bachelor,1,1,0
1091,35,300,1000,36,Male,Married,High School,1,1,0
1437,35,1000,1000,24,Male,Married,Bachelor,0,1,0
1336,35,300,3000,12,Other,Single,High School,0,0,0
1023,40,1000,1000,12,,Single,Bachelor,0,0,0
1306,25,700,1000,36,Male,Divorced,,1,1,0
1226,30,500,4000,36,Male,Single,PhD,0,0,0
1145,40,300,4000,24,,Single,Master,1,1,0
1029,,300,1000,6,Female,Divorced,Master,0,0,1
1336,25,300,3000,12,Female,Divorced,Master,0,1,0
1344,45,1000,3000,24,Female,Single,High School,0,1,0
1009,45,300,4000,24,Female,Single,Bachelor,1,1,0
1416,35,500,1000,36,Female,Married,High School,1,1,0
1252,30,500,2000,12,Male,Married,Bachelor,0,0,0
1392,25,700,2000,6,,Single,High School,1,0,0
1309,,1000,2000,12,Female,Single,Bachelor,0,0,0
1057,45,300,3000,36,Male,Married,Bachelor,0,1,0
1193,35,500,1000,24,Male,Married,High School,0,1,1
1153,35,700,4000,24,Male,Single,Master,1,0,0
1372,45,300,1000,6,Male,Married,High School,0,0,0
1050,30,700,2000,6,Male,Married,,1,0,1
1224,35,1000,3000,12,Male,Divorced,Master,0,0,0
1440,25,1000,4000,12,Male,Divorced,,1,0,0
1404,35,300,1000,24,Male,Single,,1,1,0
1283,25,1000,3000,6,Male,Divorced,High School,1,0,0
1178,35,1000,3000,12,Female,Divorced,Bachelor,1,1,0
1388,30,700,4000,6,Other,Divorced,High School,0,0,0
1052,45,500,4000,24,Other,Married,PhD,0,1,0
1106,30,500,2000,6,Female,Single,Master,1,0,0
1283,,300,1000,12,Male,Married,Bachelor,0,0,1
1274,45,700,1000,24,,Divorced,High School,1,1,0
1349,35,1000,4000,24,Male,Married,Bachelor,0,1,0
1164,30,700,1000,36,Female,Single,High School,0,1,0
1419,30,1000,4000,36,Male,Married,,1,1,0
1128,25,300,4000,12,Female,Single,High School,1,0,0
1442,25,500,4000,24,Female,Divorced,High School,0,1,0
1116,25,700,1000,36,Male,Divorced,Master,1,1,1
1121,,,4000,24,Male,Married,High School,0,0,0
1180,25,,3000,36,Male,Divorced,High School,1,1,0
1230,25,500,3000,36,Female,Divorced,PhD,1,1,0
1257,30,700,3000,24,Male,Married,PhD,0,1,0
1386,40,500,1000,12,Male,Divorced,PhD,0,0,0
1036,35,500,3000,6,Female,Divorced,Bachelor,1,1,0
1164,25,300,1000,6,Male,Married,,1,1,0
1077,25,1000,2000,6,Female,Divorced,,1,0,0
1276,25,700,3000,6,Male,Married,High School,0,0,0
1436,25,500,1000,36,Male,Divorced,Master,1,0,0
1029,30,700,4000,12,Male,Divorced,Bachelor,1,0,0
1435,40,300,2000,6,Male,Divorced,High School,1,0,0
1140,30,700,4000,12,Male,Single,PhD,1,1,0
1475,40,1000,2000,12,Female,Married,Master,0,1,0
1423,35,700,3000,6,Male,Divorced,Master,0,0,0
1377,,1000,4000,12,Female,Single,High School,1,1,0
1335,40,700,3000,24,Female,Divorced,Master,1,0,0
1465,35,700,3000,12,Female,Divorced,Bachelor,1,1,0
1440,40,500,4000,24,Male,Single,Bachelor,0,0,0
1108,45,700,4000,24,Female,Single,Bachelor,1,0,0
1315,25,300,2000,12,Male,Divorced,PhD,0,1,1
1365,25,500,3000,6,Female,Single,High School,0,1,0
1319,35,300,4000,24,Male,Divorced,High School,1,0,0
1344,30,700,4000,6,Female,Divorced,Bachelor,0,0,0
1228,25,500,1000,12,Female,Single,High School,0,1,0
1266,35,500,1000,6,Female,Single,,1,0,0
1028,25,300,4000,36,Male,Single,Master,1,0,0
1488,30,500,4000,24,Male,Single,PhD,1,0,0
1451,35,700,1000,12,Other,Divorced,High School,1,1,1
1429,40,300,2000,12,Female,Married,Master,0,1,0
1029,35,,4000,12,Female,Married,Master,0,1,0
1346,,500,4000,24,Female,Single,Bachelor,1,0,0
1072,25,500,1000,36,Female,Divorced,Bachelor,1,0,1
1021,,700,4000,12,Male,Divorced,Bachelor,1,1,0
1377,35,300,4000,6,Male,Divorced,Bachelor,1,1,0
1120,25,1000,4000,36,Male,Single,High School,1,0,0
1319,30,700,1000,12,Female,Single,High School,1,0,1
1181,25,700,1000,6,Male,Divorced,Bachelor,1,1,1
1337,30,700,2000,12,Female,Divorced,Master,0,1,0
1313,40,300,3000,24,Female,Divorced,High School,1,1,0
1251,40,500,1000,6,Male,Divorced,High School,1,0,0
1392,30,300,3000,6,Female,Single,Master,0,1,1
1073,,300,4000,6,Female,Divorced,High School,0,0,0
1146,35,300,3000,24,Female,Divorced,Bachelor,1,1,0
1212,30,700,3000,12,Female,Single,,1,1,1
1484,25,1000,3000,36,,Single,Bachelor,1,0,0
1111,35,500,4000,12,Male,Married,Bachelor,0,0,0
1194,40,1000,1000,36,Male,Single,Master,1,1,0
1255,35,500,4000,24,Female,Divorced,High School,0,0,0
1061,40,1000,4000,24,,Divorced,High School,1,1,0
1406,30,700,1000,6,Male,Divorced,High School,0,0,0
1324,25,1000,4000,36,Female,Divorced,PhD,1,1,1
1388,30,1000,4000,12,Female,Divorced,Bachelor,1,0,0
1257,40,1000,3000,36,Other,Single,High School,1,1,0
1020,35,500,3000,36,Male,Single,PhD,0,0,0
1386,25,300,2000,24,Male,Divorced,Master,0,0,0
1389,25,300,4000,36,Male,Divorced,High School,1,0,0
1272,25,1000,2000,12,Male,Married,Master,0,0,0
1303,40,1000,2000,36,Female,Divorced,,0,0,0
1150,30,700,1000,6,Male,Married,High School,1,0,1
1361,,700,2000,12,Male,Married,Bachelor,1,0,0
1272,30,700,4000,36,Male,Single,Bachelor,1,0,0
1360,35,500,2000,36,Female,Single,High School,1,1,1
1313,45,,4000,6,,Married,Bachelor,0,0,1
1396,40,300,2000,6,Male,Divorced,High School,1,0,0
1499,30,700,4000,24,Female,Divorced,,1,0,0
1247,40,500,1000,24,Female,Divorced,,1,0,1
1011,30,700,4000,36,Female,Divorced,Bachelor,1,0,0
1272,40,1000,1000,12,Female,Single,Master,1,1,0
1197,35,1000,1000,6,Female,Divorced,High School,0,0,0
1203,35,500,3000,6,Male,Divorced,Bachelor,0,1,0
1358,35,500,3000,6,,Married,Bachelor,0,0,0
1184,45,1000,2000,6,Male,Married,High School,0,1,0
1181,30,1000,2000,24,Female,Single,Master,1,0,0
1217,,700,1000,6,Female,Married,Bachelor,0,1,0
1002,30,500,3000,12,Male,Married,Bachelor,0,0,0
1107,25,500,3000,24,Male,Married,PhD,1,1,0
1475,35,1000,4000,6,Female,Divorced,High School,0,0,0
1123,40,500,3000,24,Male,Married,Master,1,0,0
1416,40,500,4000,12,Female,Single,Bachelor,1,0,0
1229,35,500,1000,24,Female,Married,Master,0,1,0
1064,45,300,4000,24,Male,Married,Bachelor,0,0,0
1292,25,1000,1000,6,Male,Married,High School,0,0,1
1373,30,500,2000,6,Female,Divorced,Bachelor,0,0,0
1379,40,300,4000,36,Female,Divorced,Bachelor,0,0,0
1013,25,300,1000,36,Male,Divorced,Master,1,0,0
1355,45,300,2000,12,Male,Married,Bachelor,1,0,1
1191,25,700,1000,12,Female,Single,Bachelor,1,1,0
1159,30,700,2000,12,Male,Divorced,Bachelor,1,1,0
1322,30,1000,2000,24,Female,Single,Bachelor,0,1,0
1110,40,300,1000,12,,Single,High School,1,0,0
1318,35,500,3000,6,Female,Divorced,Master,0,0,0
1422,35,700,2000,6,Male,Single,PhD,1,1,1
1095,35,500,3000,36,Male,Married,Bachelor,1,0,0
1417,40,1000,4000,36,Male,Divorced,Master,0,0,0
1120,40,1000,2000,36,Female,Married,High School,0,0,0
1369,25,700,2000,6,Female,Married,Master,0,0,0
1195,30,700,2000,6,Male,Married,Master,1,0,0
1180,25,,3000,36,Male,Divorced,High School,1,1,0
1237,40,500,1000,36,Female,Single,Bachelor,0,0,0
1187,45,1000,1000,36,Male,Single,Bachelor,0,1,1
1435,30,300,3000,36,Male,Single,Master,0,1,0
1147,,1000,3000,24,Other,Single,Bachelor,0,0,0
1185,45,,2000,12,Male,Single,Master,1,0,0
1042,35,500,3000,6,Male,Single,Master,0,0,0
1058,25,500,2000,12,Female,Divorced,High School,0,1,0
1002,30,700,2000,12,Male,Single,PhD,1,0,0
1020,40,1000,3000,24,Other,Single,Master,1,1,0
1169,25,1000,2000,6,Female,Single,Master,0,0,0
1484,40,500,4000,6,Female,Single,PhD,0,1,0
1471,,300,1000,24,Male,Divorced,Master,1,1,0
1087,40,1000,2000,24,Female,Married,High School,0,1,0
